STATION,STATION_NAME,DATE,HPCP
COOP:366111,MURRYSVILLE 2 SW PA US,20070601 00:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20070601 01:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20070611 11:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20070612 09:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070614 09:00,0.3
COOP:366111,MURRYSVILLE 2 SW PA US,20070618 17:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20070619 13:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070619 19:00,0.6
COOP:366111,MURRYSVILLE 2 SW PA US,20070619 20:00,0.4
COOP:366111,MURRYSVILLE 2 SW PA US,20070619 21:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20070619 22:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20070619 23:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070621 16:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070621 18:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20070628 03:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070628 11:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070628 17:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070628 19:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070629 02:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20070629 10:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070701 01:00,0
COOP:366111,MURRYSVILLE 2 SW PA US,20070703 10:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070705 06:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20070705 13:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20070705 14:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20070705 15:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070711 11:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070711 15:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20070711 16:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070713 17:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070713 18:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070718 05:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070718 08:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070719 06:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070719 07:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070719 08:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070724 16:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070727 12:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070801 01:00,0
COOP:366111,MURRYSVILLE 2 SW PA US,20070805 15:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20070805 18:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070806 00:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070806 01:00,1
COOP:366111,MURRYSVILLE 2 SW PA US,20070806 02:00,0.9
COOP:366111,MURRYSVILLE 2 SW PA US,20070806 05:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070806 08:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070808 18:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070808 19:00,0.5
COOP:366111,MURRYSVILLE 2 SW PA US,20070809 08:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070809 09:00,1.6
COOP:366111,MURRYSVILLE 2 SW PA US,20070809 14:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070809 16:00,0.8
COOP:366111,MURRYSVILLE 2 SW PA US,20070809 20:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20070809 21:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070809 22:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070816 04:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070816 05:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20070816 06:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20070819 15:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20070819 17:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070819 19:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070819 20:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070819 22:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070820 12:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070820 15:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070820 18:00,0.3
COOP:366111,MURRYSVILLE 2 SW PA US,20070820 19:00,0.4
COOP:366111,MURRYSVILLE 2 SW PA US,20070820 23:00,0.3
COOP:366111,MURRYSVILLE 2 SW PA US,20070821 02:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20070821 06:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070821 07:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20070821 12:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070821 14:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070821 18:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070821 20:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070822 00:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070822 01:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070822 13:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070825 22:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070826 00:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070826 05:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070901 01:00,0
COOP:366111,MURRYSVILLE 2 SW PA US,20070904 10:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20070912 12:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20070927 16:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070928 02:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070928 03:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20070928 04:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071001 01:00,0
COOP:366111,MURRYSVILLE 2 SW PA US,20071001 10:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20071101 00:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20071101 01:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20071101 10:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20071105 19:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071105 23:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20071106 01:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071111 20:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071111 21:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071112 00:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20071112 02:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071113 06:00,0.3
COOP:366111,MURRYSVILLE 2 SW PA US,20071113 08:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071115 01:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071115 03:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20071115 05:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071115 06:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071115 07:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071116 05:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071118 11:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071122 02:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071122 11:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071126 01:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071126 02:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071126 08:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071126 10:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071126 11:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071126 13:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071126 15:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071126 20:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20071126 21:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20071126 22:00,0.8
COOP:366111,MURRYSVILLE 2 SW PA US,20071126 23:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071201 01:00,0
COOP:366111,MURRYSVILLE 2 SW PA US,20071202 13:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071202 15:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071202 18:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20071202 21:00,0.2
