INDEX,STATION,STATION_NAME,DATE,HPCP,,DATE_2,HPCP_2
201,COOP:366993,PITTSBURGH ASOS PA US,1/29/13,0,,2013-08-21,0
202,COOP:366993,PITTSBURGH ASOS PA US,1/29/13,0,,2013-08-22,0.07
203,COOP:366993,PITTSBURGH ASOS PA US,1/30/13,0,,2013-08-23,0.01
204,COOP:366993,PITTSBURGH ASOS PA US,1/30/13,0.08,,2013-08-24,0
205,COOP:366993,PITTSBURGH ASOS PA US,1/30/13,0,,2013-08-25,0
206,COOP:366993,PITTSBURGH ASOS PA US,1/30/13,0.01,,2013-08-26,0.02
207,COOP:366993,PITTSBURGH ASOS PA US,1/30/13,0.05,,2013-08-27,0.03
208,COOP:366993,PITTSBURGH ASOS PA US,1/30/13,0.12,,2013-08-28,0.7
209,COOP:366993,PITTSBURGH ASOS PA US,1/30/13,0.1,,2013-08-29,0
210,COOP:366993,PITTSBURGH ASOS PA US,1/30/13,0.09,,2013-08-30,0
211,COOP:366993,PITTSBURGH ASOS PA US,1/30/13,0.07,,2013-08-31,0
212,COOP:366993,PITTSBURGH ASOS PA US,1/30/13,0.07,,2013-09-01,0.01
213,COOP:366993,PITTSBURGH ASOS PA US,1/30/13,0.06,,2013-09-02,0
214,COOP:366993,PITTSBURGH ASOS PA US,1/30/13,0.12,,2013-09-03,0
215,COOP:366993,PITTSBURGH ASOS PA US,1/30/13,0.06,,2013-09-04,0
216,COOP:366993,PITTSBURGH ASOS PA US,1/30/13,0.02,,2013-09-05,0
217,COOP:366993,PITTSBURGH ASOS PA US,1/31/13,0,,2013-09-06,0
218,COOP:366993,PITTSBURGH ASOS PA US,1/31/13,0.01,,2013-09-07,0
219,COOP:366993,PITTSBURGH ASOS PA US,1/31/13,0,,2013-09-08,0
220,COOP:366993,PITTSBURGH ASOS PA US,1/31/13,0,,2013-09-09,0.47
221,COOP:366993,PITTSBURGH ASOS PA US,1/31/13,0,,2013-09-10,0
222,COOP:366993,PITTSBURGH ASOS PA US,1/31/13,0.09,,2013-09-11,0.01
223,COOP:366993,PITTSBURGH ASOS PA US,1/31/13,0.01,,2013-09-12,0.4
224,COOP:366993,PITTSBURGH ASOS PA US,1/31/13,0,,2013-09-13,0.25
225,COOP:366993,PITTSBURGH ASOS PA US,1/31/13,0,,2013-09-14,0
226,COOP:366993,PITTSBURGH ASOS PA US,1/31/13,0,,2013-09-15,0
227,COOP:366993,PITTSBURGH ASOS PA US,1/31/13,0,,2013-09-16,0.19
228,COOP:366993,PITTSBURGH ASOS PA US,1/31/13,0,,2013-09-17,0
229,COOP:366993,PITTSBURGH ASOS PA US,1/31/13,0,,2013-09-18,0
265,COOP:366993,PITTSBURGH ASOS PA US,2/2/13,0,,2013-09-19,0
230,COOP:366993,PITTSBURGH ASOS PA US,1/31/13,0,,2013-09-20,0
231,COOP:366993,PITTSBURGH ASOS PA US,1/31/13,0,,2013-09-21,0.98
232,COOP:366993,PITTSBURGH ASOS PA US,1/31/13,0,,2013-09-22,0
233,COOP:366993,PITTSBURGH ASOS PA US,1/31/13,0,,2013-09-23,0
266,COOP:366993,PITTSBURGH ASOS PA US,2/2/13,0,,2013-09-24,0
